location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,market_name,lat,lon,commodity_category,commodity_name,unit,price_flag,price_type,currency_code,price,reference_period_start,reference_period_end
ZMB,False,True,Central,Kabwe,ZM101,Central,ZM101005,Kabwe,2,Kabwe Rural,-14.433333,28.45,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.0,2003-01-15,2003-02-14
ZMB,False,True,Central,Kabwe,ZM101,Central,ZM101005,Kabwe,2,Kabwe Urban,-14.433333,28.45,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.11,2003-01-15,2003-02-14
ZMB,False,True,Central,Mkushi,ZM101,Central,ZM101008,Mkushi,2,Mkushi Itala,-13.6145332,29.3978962,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.07,2003-01-15,2003-02-14
ZMB,False,True,Central,Mumbwa,ZM101,Central,ZM101009,Mumbwa,2,Mumbwa,-14.983333,27.066667,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.15,2003-01-15,2003-02-14
ZMB,False,True,Central,Serenje,ZM101,Central,ZM101011,Serenje,2,Serenje,-13.2312995,30.2344344,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.15,2003-01-15,2003-02-14
ZMB,False,True,Copperbelt,Chingola,ZM102,Copperbelt,ZM102002,Chingola,2,Chingola,-12.533333,27.85,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.0,2003-01-15,2003-02-14
ZMB,False,True,Copperbelt,Kalulushi,ZM102,Copperbelt,ZM102003,Kalulushi,2,Kalulushi Main,-12.8485752,28.0573795,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.27,2003-01-15,2003-02-14
ZMB,False,True,Copperbelt,Kitwe,ZM102,Copperbelt,ZM102004,Kitwe,2,Kitwe,-12.816667,28.2,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.22,2003-01-15,2003-02-14
ZMB,False,True,Copperbelt,Luanshya,ZM102,Copperbelt,ZM102005,Luanshya,2,Luanshya,-13.133333,28.4,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.33,2003-01-15,2003-02-14
ZMB,False,True,Copperbelt,Mufulira,ZM102,Copperbelt,ZM102009,Mufulira,2,Mufulira,-12.55,28.233333,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.13,2003-01-15,2003-02-14
ZMB,False,True,Copperbelt,Ndola,ZM102,Copperbelt,ZM102010,Ndola,2,Ndola Rural,-12.966667,28.633333,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.29,2003-01-15,2003-02-14
ZMB,False,True,Eastern,Chipata,ZM103,Eastern,ZM103002,Chipata,2,Chipata,-13.633333,32.65,cereals and tubers,Maize (white),KG,actual,Retail,ZMW,1.08,2003-01-15,2003-02-14
